Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Atalanta,22,3.0,5,47,14,29.8,15.67,4.67,0.11,0.36,17.0,2,0,0,5.2,5.2,0.12,-0.2,-0.2
vs Bologna,20,3.0,5,22,8,36.4,7.33,2.67,0.23,0.63,16.1,0,0,1,4.4,3.6,0.16,0.6,1.4
vs Cagliari,19,3.0,2,46,10,21.7,15.33,3.33,0.04,0.2,18.4,2,0,0,4.1,4.1,0.09,-2.1,-2.1
vs Como,25,3.0,5,34,13,38.2,11.33,4.33,0.15,0.38,17.0,1,0,0,2.9,2.9,0.09,2.1,2.1
vs Empoli,20,3.0,2,47,11,23.4,15.67,3.67,0.04,0.18,15.9,0,0,0,3.8,3.8,0.08,-1.8,-1.8
vs Fiorentina,24,3.0,3,26,13,50.0,8.67,4.33,0.12,0.23,17.1,0,0,0,2.6,2.6,0.11,0.4,0.4
vs Genoa,18,3.0,4,35,11,31.4,11.67,3.67,0.09,0.27,16.1,1,1,1,3.8,3.0,0.09,0.2,0.0
vs Hellas Verona,20,3.0,3,32,9,28.1,10.67,3.0,0.06,0.22,18.4,1,1,1,3.7,3.0,0.09,-0.7,-1.0
vs Inter,18,3.0,2,33,11,33.3,11.0,3.67,0.06,0.18,18.5,1,0,1,3.7,2.8,0.09,-1.7,-0.8
vs Juventus,22,3.0,0,17,2,11.8,5.67,0.67,0.0,0.0,18.9,2,0,0,1.1,1.1,0.06,-1.1,-1.1
vs Lazio,20,3.0,5,29,9,31.0,9.67,3.0,0.17,0.56,18.9,2,0,0,2.7,2.7,0.1,2.3,2.3
vs Lecce,20,3.0,6,41,9,22.0,13.67,3.0,0.1,0.44,14.7,1,2,2,5.9,4.4,0.11,0.1,-0.4
vs Milan,21,3.0,5,23,12,52.2,7.67,4.0,0.22,0.42,13.9,0,0,0,4.8,4.8,0.21,0.2,0.2
vs Monza,19,3.0,3,40,9,22.5,13.33,3.0,0.08,0.33,16.6,1,0,0,3.1,3.1,0.08,-0.1,-0.1
vs Napoli,18,3.0,4,29,7,24.1,9.67,2.33,0.1,0.43,20.2,1,1,1,4.1,3.3,0.12,-0.1,-0.3
vs Parma,20,3.0,4,61,19,31.1,20.33,6.33,0.07,0.21,18.8,2,0,0,4.8,4.8,0.08,-0.8,-0.8
vs Roma,20,3.0,2,34,6,17.6,11.33,2.0,0.03,0.17,16.1,1,1,1,4.1,3.3,0.11,-2.1,-2.3
vs Torino,20,3.0,3,63,17,27.0,21.0,5.67,0.05,0.18,17.7,2,0,1,6.0,5.2,0.09,-3.0,-2.2
vs Udinese,19,3.0,2,58,13,22.4,19.33,4.33,0.02,0.08,16.7,1,1,2,6.3,4.8,0.09,-4.3,-3.8
vs Venezia,22,3.0,3,38,18,47.4,12.67,6.0,0.05,0.11,17.9,1,1,1,4.3,3.5,0.09,-1.3,-1.5
